date,ans,wti,henry_hub,brent,production
3/16/2001,24.27,26.76,,,"1,048,744"
3/17/2001,,,,,"1,042,983"
3/18/2001,,,,,"1,027,751"
3/19/2001,23.68,26.17,,,"1,049,872"
3/20/2001,23.47,25.96,,,"1,040,030"
3/21/2001,23.94,26.43,,,"1,033,741"
3/22/2001,23.70,26.19,,,"1,037,176"
3/23/2001,24.48,26.97,,,"1,053,345"
3/24/2001,,,,,"1,052,575"
3/25/2001,,,,,"1,057,739"
3/26/2001,24.99,27.48,,,"1,065,372"
3/27/2001,25.26,27.75,,,"1,066,211"
3/28/2001,23.84,26.33,,,"1,054,580"
3/29/2001,23.84,26.33,,,"1,042,444"
3/30/2001,23.81,26.30,,,"1,021,903"
3/31/2001,,,,,"1,001,274"
4/1/2001,,,,,"978,600"
4/2/2001,23.11,25.60,,,"1,049,220"
4/3/2001,23.71,26.20,,,"1,037,313"
4/4/2001,24.64,27.13,,,"1,023,096"
4/5/2001,25.59,27.27,,,"1,066,873"
4/6/2001,25.39,27.07,,,"1,031,498"
4/7/2001,,,,,"1,003,895"
4/8/2001,,,,,"1,007,648"
4/9/2001,25.60,27.28,,,"994,815"
4/10/2001,26.81,28.49,,,"1,005,677"
4/11/2001,26.50,28.18,,,"1,014,350"
4/12/2001,26.57,28.25,,,"997,801"
4/13/2001,,,,,"1,024,557"
4/14/2001,,,,,"1,028,784"
4/15/2001,,,,,"1,016,158"
4/16/2001,27.11,28.79,,,"1,024,257"
4/17/2001,26.57,28.25,,,"1,034,900"
4/18/2001,26.27,27.95,,,"982,293"
4/19/2001,26.07,27.82,,,"1,039,952"
4/20/2001,25.53,27.28,,,"1,063,284"
4/21/2001,,,,,"1,056,607"
4/22/2001,,,,,"1,071,938"
4/23/2001,25.08,26.83,,,"1,022,286"
4/24/2001,23.31,25.06,,,"1,030,222"
4/25/2001,24.04,25.79,,,"1,039,943"
4/26/2001,26.69,28.44,,,"1,038,650"
4/27/2001,26.52,28.27,,,"941,439"
4/28/2001,,,,,"937,515"
4/29/2001,,,,,"1,031,626"
4/30/2001,26.71,28.46,,,"1,035,616"
5/1/2001,27.05,28.94,,,"1,042,149"
5/2/2001,25.91,27.80,,,"1,026,313"
5/3/2001,26.56,28.45,,,"1,005,864"
5/4/2001,26.47,28.36,,,"960,344"
5/5/2001,,,,,"962,024"
5/6/2001,,,,,"973,408"
5/7/2001,25.88,27.77,,,"974,990"
5/8/2001,25.47,27.39,,,"964,994"
5/9/2001,26.31,28.23,,,"951,418"
5/10/2001,26.60,28.52,,,"952,964"
5/11/2001,26.63,28.55,,,"880,960"
5/12/2001,,,,,"965,509"
5/13/2001,,,,,"935,354"
5/14/2001,26.79,28.71,,,"944,426"
5/15/2001,27.06,28.98,,,"992,485"
5/16/2001,26.91,28.83,,,"996,735"
5/17/2001,26.99,28.91,,,"975,803"
5/18/2001,27.99,29.91,,,"957,110"
5/19/2001,,,,,"994,907"
5/20/2001,,,,,"1,001,139"
5/21/2001,28.06,29.98,,,"1,003,097"
5/22/2001,27.82,29.74,,,"1,015,786"
5/23/2001,27.11,29.03,,,"1,028,512"
5/24/2001,25.99,27.91,,,"1,033,015"
5/25/2001,25.88,27.80,,,"1,032,200"
5/26/2001,,,,,"1,016,467"
5/27/2001,,,,,"1,006,557"
5/28/2001,,,,,"1,001,558"
5/29/2001,26.74,28.66,,,"1,006,932"
5/30/2001,26.63,28.55,,,"999,895"
5/31/2001,26.45,28.37,,,"997,209"
6/1/2001,26.19,27.93,,,"943,592"
6/2/2001,,,,,"954,968"
6/3/2001,,,,,"874,626"
6/4/2001,26.39,28.13,,,"959,130"
6/5/2001,26.51,28.25,,,"960,744"
6/6/2001,25.95,27.73,,,"975,690"
6/7/2001,25.97,27.75,,,"980,659"
6/8/2001,26.55,28.33,,,"983,880"
6/9/2001,,,,,"986,169"
6/10/2001,,,,,"1,051,210"
6/11/2001,27.26,29.04,,,"941,078"
6/12/2001,27.41,29.19,,,"864,774"
6/13/2001,27.07,28.85,,,"914,679"
6/14/2001,27.30,29.08,,,"947,955"
6/15/2001,26.73,28.51,,,"955,923"
6/16/2001,,,,,"936,323"
6/17/2001,,,,,"930,238"
6/18/2001,25.78,27.56,,,"959,647"
6/19/2001,25.71,27.49,,,"989,069"
6/20/2001,24.73,26.51,,,"978,770"
6/21/2001,24.60,26.38,,,"968,678"
6/22/2001,24.85,26.63,,,"947,682"
6/23/2001,,,,,"975,291"
6/24/2001,,,,,"986,323"
6/25/2001,25.22,27.00,,,"943,945"
6/26/2001,25.20,26.98,,,"994,563"
6/27/2001,23.84,25.62,,,"991,984"
6/28/2001,23.78,25.56,,,"992,554"
6/29/2001,24.48,26.26,,,"981,172"
6/30/2001,,,,,"966,648"
7/1/2001,,,,,"1,018,982"
7/2/2001,24.25,25.95,,,"935,684"
7/3/2001,24.11,25.91,,,"940,022"
7/4/2001,,,,,"983,768"
7/5/2001,25.41,27.02,,,"984,956"
7/6/2001,26.61,28.22,,,"983,891"
7/7/2001,,,,,"931,546"
7/8/2001,,,,,"1,013,961"
7/9/2001,25.98,27.59,,,"995,524"
7/10/2001,25.88,27.49,,,"987,088"
7/11/2001,25.46,27.11,,,"979,364"
7/12/2001,25.15,26.80,,,"984,046"
7/13/2001,24.94,26.59,,,"975,439"
7/14/2001,,,,,"984,171"
7/15/2001,,,,,"963,183"
7/16/2001,24.42,26.07,,,"881,198"
7/17/2001,23.62,25.57,,,"920,384"
7/18/2001,22.96,24.91,,,"929,373"
7/19/2001,22.76,24.71,,,"932,092"
7/20/2001,23.64,25.59,,,"904,790"
7/21/2001,,,,,"872,828"
7/22/2001,,,,,"880,043"
7/23/2001,23.99,25.94,,,"869,318"
7/24/2001,24.18,26.13,,,"921,343"
7/25/2001,24.69,26.64,,,"976,242"
7/26/2001,24.78,26.73,,,"964,171"
7/27/2001,25.07,26.63,,,"920,215"
7/28/2001,,,,,"931,459"
7/29/2001,,,,,"915,740"
7/30/2001,24.68,26.63,,,"980,405"
7/31/2001,24.40,26.35,,,"979,022"
8/1/2001,24.02,26.77,,,"979,544"
8/2/2001,23.98,27.71,,,"1,016,605"
